Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1000000,23044,Stones,John,MCI,unexpected,defender,8.1
1000000,23059,Coleman,Seamus,EVE,unexpected,defender,5.9
1000000,23076,Maguire,Harry,MUN,possible,defender,6.7
1000000,23117,Milner,James,BHA,unexpected,midfielder,6.7
1000000,23120,Gomez,Joe,LIV,unexpected,defender,7.4
1000000,23148,Zinchenko,Oleksandr,ARS,unexpected,defender,8.1
1000000,23153,Sterling,Raheem,CHE,suspended,midfielder,8.1
1000000,23188,Shaw,Luke,MUN,expected,defender,7.4
1000000,23238,van Dijk,Virgil,LIV,expected,defender,8.9
1000000,23260,Walker,Kyle,BUR,expected,defender,6.7
1000000,23287,Tarkowski,James,EVE,expected,defender,6.7
1000000,23326,Iwobi,Alex,FUL,expected,midfielder,9.6
1000000,23331,Welbeck,Danny,BHA,possible,forward,8.9
1000000,23346,Ake,Nathan,MCI,unexpected,defender,7.4
1000000,23404,Ward-Prowse,James,WHU,expected,midfielder,7.4
1000000,23433,Pickford,Jordan,EVE,expected,goalkeeper,8.1
1000000,23490,Davies,Ben,TOT,unexpected,defender,6.7
1000000,24083,Chilwell,Ben,CHE,unexpected,defender,7.4
1000000,24087,Pope,Nick,NEW,expected,goalkeeper,8.1
1000000,32948,Wan-Bissaka,Aaron,WHU,expected,defender,7.4
1000000,32973,Rice,Declan,ARS,expected,midfielder,9.6
1000000,32986,Jesus,Gabriel,ARS,injured,forward,9.6
1000000,45008,Dunk,Lewis,BHA,expected,defender,6.7
1000000,45018,March,Solly,BHA,injured,midfielder,8.1
1000000,45036,Hughes,Will,CRY,expected,midfielder,6.7
1000000,45039,Barnes,Harvey,NEW,expected,midfielder,9.6
1000000,45072,Lascelles,Jamaal,NEW,unexpected,defender,6.7
1000000,45081,Silva,Bernardo,MCI,expected,midfielder,8.9
1000000,45106,Salah,Mohamed,LIV,expected,midfielder,20.0
1000000,45113,Ederson,Ederson,MCI,expected,goalkeeper,8.9
1000000,45120,Robertson,Andrew,LIV,possible,defender,8.1
1000000,45474,Richarlison,Richarlison,TOT,expected,forward,10.4
1000000,46637,Walker-Peters,Kyle,WHU,unexpected,defender,6.7
1000000,55898,Foden,Phil,MCI,unexpected,midfielder,13.3
1000000,57345,Wood,Chris,NTG,expected,forward,11.1
1000000,69539,Hudson-Odoi,Callum,NTG,expected,midfielder,8.9
1000000,76982,Nketiah,Eddie,CRY,injured,forward,8.1
1000000,77164,Nelson,Reiss,ARS,unexpected,midfielder,8.1
1000000,77662,Dubravka,Martin,BUR,unexpected,goalkeeper,7.4
1000000,84632,Willock,Joe,NEW,injured,midfielder,6.7
1000000,88449,Diop,Issa,FUL,unexpected,defender,5.9
1000000,88472,Leno,Bernd,FUL,expected,goalkeeper,6.7
1000000,88492,Maddison,James,TOT,injured,midfielder,9.6
1000000,88528,Jimenez,Raul,FUL,expected,forward,8.9
1000000,88531,Gibbs-White,Morgan,NTG,expected,midfielder,10.4
1000000,88556,Boly,Willy,NTG,unexpected,defender,5.9
1000000,90433,Bissouma,Yves,TOT,unexpected,midfielder,6.7
1000000,90826,Alisson,Becker,LIV,expected,goalkeeper,8.9
1000000,91161,Schar,Fabian,NEW,expected,defender,8.1
1000000,91483,Digne,Lucas,AV,possible,defender,7.4
1000000,92386,Targett,Matt,NEW,unexpected,defender,6.7
1000000,92389,Kovacic,Mateo,MCI,injured,midfielder,8.9
1000000,92390,Arrizabalaga,Kepa,ARS,unexpected,goalkeeper,8.1
1000000,92413,Dendoncker,Leander,AV,unexpected,midfielder,6.7
1000000,92423,Burn,Dan,NEW,expected,defender,7.4
1000000,95817,Longstaff,Sean,LEE,possible,midfielder,6.7
1000000,96761,McNeil,Dwight,EVE,possible,midfielder,8.9
1000000,106430,Saka,Bukayo,ARS,expected,midfielder,14.8
1000000,106466,Kilman,Max,WHU,expected,defender,6.7
1000000,110910,Tielemans,Youri,AV,expected,midfielder,8.9
1000000,131313,Martinez,Emiliano,AV,suspended,goalkeeper,7.4
1000000,131314,Mings,Tyrone,AV,unexpected,defender,7.4
1000000,131333,McGinn,John,AV,expected,midfielder,8.1
1000000,131338,Grealish,Jack,EVE,unexpected,midfielder,8.9
1000000,132424,Trossard,Leandro,ARS,unexpected,midfielder,11.1
1000000,132974,Rodri,Rodri,MCI,unexpected,midfielder,8.9
1000000,134708,Konsa,Ezri,AV,expected,defender,7.4
1000000,137599,Joelinton,Joelinton,NEW,expected,midfielder,8.1
1000000,137863,Henderson,Dean,CRY,expected,goalkeeper,7.4
1000000,139207,Neto,Pedro,CHE,expected,midfielder,10.4
1000000,139208,Webster,Adam,BHA,injured,defender,6.7
1000000,139802,Mount,Mason,MUN,possible,midfielder,8.1
1000000,139838,Krafth,Emil,NEW,unexpected,defender,6.7
1000000,140008,Martinelli,Gabriel,ARS,expected,midfielder,11.1
1000000,140028,Kelleher,Caoimhin,BRE,expected,goalkeeper,6.7
1000000,140080,Ramsdale,Aaron,NEW,unexpected,goalkeeper,7.4
1000000,148332,James,Reece,CHE,expected,defender,8.1
1000000,154682,Jones,Curtis,LIV,possible,midfielder,8.1
1000000,156926,Williams,Neco,NTG,expected,defender,7.4
1000000,156990,Lamptey,Tariq,BHA,unexpected,defender,6.7
1000000,160700,Soucek,Tomas,WHU,possible,midfielder,8.9
