Tournament,PlayerID,Name,FName,Club,Lineup,Position,Price
1010808,4342289,Herrera,Yangel,RSO,injured,midfielder,7.5
1010808,4342365,Courtois,Thibaut,RMA,expected,goalkeeper,14.2
1010808,4342367,Vinicius Jr.,Vinicius Jr.,RMA,expected,midfielder,18.2
1010808,4342370,Huijsen,Dean,RMA,expected,defender,12.9
1010808,4342371,Carreras,Alvaro,RMA,expected,defender,13.3
1010808,4342372,Mendy,Ferland,RMA,unexpected,defender,12.0
1010808,4342374,Rodrygo,Rodrygo,RMA,unexpected,midfielder,16.4
1010808,4342375,Bellingham,Jude,RMA,injured,midfielder,17.6
1010808,4342380,Militao,Eder,RMA,possible,defender,12.7
1010808,4342381,Rudiger,Antonio,RMA,expected,defender,13.2
1010808,4342389,Ceballos,Dani,RMA,unexpected,midfielder,13.8
1010808,4342391,Mbappe,Kylian,RMA,expected,forward,18.5
1010808,4342406,Garcia,Gonzalo,RMA,unexpected,forward,15.2
1010808,4342407,Guler,Arda,RMA,expected,midfielder,17.0
1010808,4342411,Endrick,Endrick,RMA,unexpected,forward,14.8
1010808,4342425,Alaba,David,RMA,unexpected,defender,11.8
1010808,4342426,Camavinga,Eduardo,RMA,unexpected,midfielder,13.9
1010808,4342428,Carvajal,Daniel,RMA,expected,defender,13.0
1010808,4342429,Alexander-Arnold,Trent,RMA,possible,defender,13.6
1010808,4342436,Tchouameni,Aurelien,RMA,expected,midfielder,14.2
1010808,4342437,Diaz,Brahim,RMA,possible,midfielder,15.5
1010808,4342442,Garcia,Fran,RMA,unexpected,defender,12.4
1010808,4342449,Lunin,Andriy,RMA,unexpected,goalkeeper,13.8
1010808,4342459,Valverde,Federico,RMA,expected,midfielder,15.8
1010808,4342464,Martin,Jon,RSO,possible,defender,6.5
1010808,4342466,Asencio,Raul,RMA,unexpected,defender,12.1
1010808,4342467,Karrikaburu,Jon,RSO,unexpected,forward,7.7
1010808,4342473,Mariezkurrena,Arkaitz,RSO,unexpected,midfielder,7.0
1010808,4342474,Elustondo,Aritz,RSO,unexpected,defender,6.4
1010808,4342475,Munoz,Aihen,RSO,expected,defender,7.0
1010808,4342476,Gorrotxategi,Jon,RSO,expected,midfielder,7.1
1010808,4342478,Zakharyan,Arsen,RSO,unexpected,midfielder,7.3
1010808,4342482,Sadiq,Umar,RSO,unexpected,forward,8.1
1010808,4342485,Sucic,Luka,RSO,possible,midfielder,7.8
1010808,4342489,Zubeldia,Igor,RSO,expected,defender,6.8
1010808,4342497,Aramburu,Jon,RSO,expected,defender,7.1
1010808,4342514,Gomez,Sergio,RSO,possible,midfielder,8.3
1010808,4342518,Marin,Pablo,RSO,expected,midfielder,7.4
1010808,4342525,Caleta-Car,Duje,RSO,expected,defender,6.7
1010808,4342528,Barrenetxea,Ander,RSO,expected,midfielder,8.9
1010808,4342529,Oyarzabal,Mikel,RSO,expected,forward,9.2
1010808,4342534,Marrero,Unai,RSO,unexpected,goalkeeper,7.4
1010808,4342535,Oskarsson,Orri,RSO,unexpected,forward,8.6
1010808,4342536,Turrientes,Benat,RSO,unexpected,midfielder,7.7
1010808,4342544,Odriozola,Alvaro,RSO,unexpected,defender,6.2
1010808,4342549,Mendez,Brais,RSO,expected,midfielder,8.7
1010808,4342550,Guedes,Goncalo,RSO,unexpected,midfielder,8.4
1010808,4342562,Remiro,Alex,RSO,expected,goalkeeper,7.7
1010808,4342567,Kubo,Takefusa,RSO,expected,midfielder,9.0
1010808,4354568,Mastantuono,Franco,RMA,expected,midfielder,15.1
1010808,4357335,Goti,Mikel,RSO,unexpected,midfielder,7.3
1010808,4392192,Soler,Carlos,RSO,unexpected,midfielder,8.0
